OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
951,416208.2967976496,3155408.947852338,157.4601435055956,Sign,766b04f3-6e92-43db-890c-cd47d85a95c6,M1-4,0.7751819974389832,0.5817685188077112,277,,Good,24116977-9a21-4d32-80e4-e02a5eb93a4e,-99.85636334652243,28.5227287453915
952,437218.9668974821,3138229.845227432,141.1158617893234,Sign,77bd29dd-c077-4cd9-875e-7fffbc0c9ac1,M6-4,0.6170392036437985,0.355844640902105,,,Good,ab61d4fc-14f8-4700-9b5f-09467a64e38a,-99.64070894414185,28.368851613498784
953,416932.4781661761,3157271.037438389,152.5975232766941,Sign,6ba07c2b-1fd4-4e3b-a7f7-0a64306dc49d,M6-4,0.6080791950225827,0.4151959250460568,,,Good,ba00dbbc-7843-40cf-b106-dc4318b4c4c9,-99.84909748326788,28.539581672731906
954,433973.2301468431,3160981.56592601,141.6239243643358,Sign,60db42d6-4ec7-46f3-b972-c37a0cb047bb,W1-8,0.502923287137896,0.6306407885671654,,,Good,1fd09b83-2424-4dee-b809-e6085d8b210c,-99.67513561319419,28.574050020964677
955,417645.0011139878,3155498.913466339,149.4583520172164,Sign,64df7d47-f35a-4dda-9a30-d28001edc03b,M6-1,0.6019226384504455,0.3749098374326421,,,Good,eba86073-e1cb-406b-9b11-5ddb2aa5a305,-99.84168778265287,28.523632501576234
956,417133.9316345434,3157535.246586351,153.2104527810588,Sign,6c8f76cf-6882-440f-98c2-7eb5e14522fa,M1-6L,0.6842237777991844,0.6597211360931385,LOOP 517,,Good,0a00643a-ced8-4e6e-8e26-92c1472d2720,-99.8470575325033,28.54197917576281
957,439833.5895674874,3136147.003666187,141.0520691154525,Sign,ec648238-e79f-4e36-839d-07e120682267,W13-5T,0.6811965431882007,0.8278809944626248,"CURVE
30
MPH",,Good,559ac8d1-60c8-4054-9d17-399bdd2f1ca3,-99.61391863045061,28.350174044439072
958,442919.8769615589,3160838.488456361,130.3135867705569,Sign,b8e6ca23-a6fd-4b6f-883e-c02452a994d4,W3-5,0.9774841429659464,1.035981242109164,SPEED LIMIT 55,,Good,88ffcf90-b65d-4aa7-b99c-76b95b4edaac,-99.58365161688761,28.573182894023635
959,390631.7561085261,3167604.454124163,183.1902450351045,Sign,fee2406d-9858-4647-ac11-2be52cdf8726,I-3,1.207846158448485,0.4734638294690599,Comanche Creek,,Good,a36ba7a5-4187-4dac-8f0f-abff500d1c96,-100.11888738693939,28.63089186595059
960,439770.6250036371,3126661.113729809,138.2603320488706,Sign,54cf134a-e44a-4228-862c-3e89aafe1351,W9-2T,0.9266461236295772,0.94371522063318,"LANE ENDS
MERGE
LEFT",,Good,ae1a665b-0ccb-4fb4-8917-cbda2d674f1f,-99.6140691570095,28.264547985034
961,416844.8310176757,3155163.0189465,152.7611866043881,Sign,3139929c-9599-4da1-9796-72faf294dbf4,S7-1T,0.6880064400036748,0.4910984534234568,,Cell Phone Use Prohibited Up to $200 Fine,Good,90269d48-44c7-4f41-9264-b35c5e515d1d,-99.84984066380228,28.520549936837053
962,431833.9586,3159583.975932812,135.0996444030762,Sign,511e6b71-790c-4d84-ad47-4024ca82fc2c,Unknown,0.1011423021554947,0.237150251865387,,,Remove,9853e200-9377-4972-b211-e20cf4629bbf,-99.69692561891074,28.561324955592116
