OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
331,678789.6637533032,1303979.596613165,192.5247462314699,Sign Face,99W,M1-5,2.547428207447522,2.421469200314499,,-19.850865709057395
332,676494.169173097,1303957.23367634,196.8152012011013,Sign Face,N EDWARDS ST,D3-1,4.344996348453631,1.172690879641555,,91.53564905845874
333,674572.9222264568,1304036.536126204,187.4891017903309,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.4933658117071537,0.656780119486681,,-90.91606406012487
334,677019.2549427103,1303859.600855189,181.4321325431787,Sign Face,NEXT 1/2 MILE,W16-7P,3.036591676589385,1.543696744861252,,132.10341325837592
335,675330.588986999,1303763.049365547,191.2583618564058,Sign Face,1st First St,D3-1,2.641912911507714,1.135294831643893,,178.9074545170222
336,673759.8047861655,1303750.642688461,183.8951247482603,Sign Face,ONE WAY,R6-1L,3.184526767630589,1.133478141519341,,179.3425430204567
337,676176.3025648703,1303742.47062571,199.2592857490503,Sign Face,,D3-1,4.304602859527106,1.376546586905252,,-87.51425277470044
338,682115.3516723793,1305332.031947939,215.9014250887476,Sign Face,STOP,R1-1,1.158957562734449,1.932808889804549,,1.3080964667558572
339,674976.9801672427,1303773.722307781,190.6134114402614,Sign Face,,R2-1,1.060488362481275,3.201216263720995,,92.72505276729534
340,675540.4183624989,1303989.759026755,200.1891150786936,Sign Face,"240 WEST
CHEHALEM VLY.
YAMHILL
RIGHT LANE",D1-1,7.270241346884899,6.41090233182031,,-89.92953441872513
341,673764.2474566923,1303824.266946427,183.8359847381175,Sign Face,,R3-2,2.549651257322216,2.210497895250796,,-135.66061069379433
342,678962.8522106421,1304061.888143664,194.7507121969211,Sign Face,,D3-1,10.34241414132706,0.788054020777149,,-28.797800720877337
343,674290.1256020053,1303799.544203831,188.4357205437992,Sign Face,Grant St,D3-1,2.951346083575972,1.148946993932949,,-82.0184089076042
344,679941.1184085076,1304499.675817895,208.9666890571878,Sign Face,,M6-3B,2.034412907177382,1.758161022907167,,66.72634541528242
345,680866.0973906269,1304991.28236253,222.8922708365677,Sign Face,N ELLIOTT AVE,D3-1,4.094218018799629,1.338419756238542,,-110.24697946093588
346,682090.5066792485,1305489.141606488,221.7223552493101,Sign Face,,R2-1,2.119520830670054,1.054511569303477,,-178.60891238542916
347,673101.5183986394,1303546.471830633,173.0947036667575,Sign Face,99W,M1-4,2.901726194566942,2.262227022115952,,-26.98644332379774
348,678831.1280107313,1303681.824148063,186.3397646675714,Sign Face,NO THRU TRUCKS,R5-2,2.939167024269504,3.31091364537637,,90.63193405202126
349,673023.905879688,1303652.939881132,175.4024390698233,Sign Face,,W3-1,1.238502972707973,4.28827846144128,,108.57701737857488
350,681429.0682103755,1305113.309822263,221.2283844934802,Sign Face,"SPEED
35",R2-1,3.045908422294877,4.45649575373632,,69.02294702480164
351,676273.7825978837,1303966.998600477,192.8425093873095,Sign Face,NO PARKING ANY TIME,R7-1,1.084008046335436,3.138085988562876,,90.88427361913473
352,677986.1891868612,1303715.7619377,178.5786094539876,Sign Face,,D3-1,1.16301099146445,0.6322274253437212,,66.92501308205875
353,679306.7236401655,1304344.215990882,209.4183170488316,Sign Face,DO NOT ENTER,R5-1a,7.045853325701135,8.326368381970823,,82.92556760259133
