OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
108,3111440.436324035,1214493.906397243,5454.461376779656,Sign Face,,W1-8R,-105.10267277388284,39.921480257849446
109,3112835.038395466,1214478.868710476,5436.748666282078,Sign Face,,W1-8R,-105.09770080205723,39.92142171514977
110,3115603.358464233,1213888.389197129,5406.055908758223,Sign Face,,W2-1,-105.08784062925547,39.91976584421063
111,3115603.330429768,1213888.339536078,5403.221004883826,Sign Face,AHEAD,W16-9P,-105.08784073002795,39.919765708240014
112,3111005.353249236,1214818.686469672,5426.763932049653,Sign Face,AHEAD,W16-9P,-105.10421882036574,39.922377178303776
113,3116183.02949003,1210223.491709743,5434.035915703356,Sign Face,,W11-2,-105.08583499218213,39.909697636849494
114,3115125.677621337,1212193.368201951,5448.10495383817,Sign Face,COMMERCE,D3-1,-105.08957164580848,39.915118793921565
115,3116081.614414143,1211921.21682927,5440.083110835532,Sign Face,120TH AVE,D3-1,-105.0861682641916,39.91435949360261
116,3112887.486072672,1214465.681298366,5436.434670892934,Sign Face,,W1-8R,-105.09751402240907,39.9213848600091
117,3111402.878952412,1214569.166118719,5448.271112795254,Sign Face,,,-105.10280547640056,39.92168732108287
118,3116186.083644693,1211866.434281663,5437.843527888835,Sign Face,120TH AVE,D3-1,-105.08579674834436,39.91420776680557
119,3117153.162134683,1211924.208507127,5416.375442080081,Sign Face,,,-105.08234819536736,39.91435391488955
120,3117145.611251912,1211922.655798285,5426.699318240861,Sign Face,RAILROAD CROSSING,R15-1,-105.08237513998628,39.91434975005681
121,3117058.656352823,1211857.725975999,5424.80805256484,Sign Face,120th AVE,D3-1,-105.08268621952436,39.914172630031274
122,3110503.372532988,1215052.871968532,5412.143017020603,Sign Face,AHEAD,W11-2,-105.10600486111076,39.923026195915185
123,3115085.722101521,1212975.990728705,5422.217915222228,Sign Face,,R2-1,-105.08970117740327,39.917267739117115
124,3116731.09446053,1211875.766954901,5422.176035612008,Sign Face,,,-105.08385365774944,39.914226381628
125,3113364.785246357,1214152.726163072,5430.734913825572,Sign Face,,R2-1,-105.09581738223912,39.92051978289694
126,3116142.659060139,1210537.108057908,5439.850717327178,Sign Face,,,-105.08597368132091,39.91055908706447
127,3115165.371619648,1212246.145484361,5443.939891279122,Sign Face,,W1-2,-105.08942926573708,39.91526317248753
128,3115141.191894001,1212977.351601711,5420.630864161233,Sign Face,,,-105.08950339917466,39.917270770205405
129,3115125.681225768,1212193.315336961,5448.978778084895,Sign Face,COMMERCE ST,D3-1,-105.089571633831,39.915118648751985
130,3112699.327557657,1214373.769905951,5430.699013440987,Sign Face,,,-105.09818635337324,39.9211348894539
131,3117331.145741047,1211924.618210801,5411.717841200411,Sign Face,NO TRAIN HORN,W10-9,-105.08171368513862,39.914352736581
132,3115076.445497212,1213089.014475856,5415.720730952799,Sign Face,,M6-1L,-105.08973238520976,39.917578127143905
133,3114516.916833678,1213468.946349839,5420.474706561943,Sign Face,LIMITED SIGHT DISTANCE,W7-8,-105.09172093781164,39.91862819680732
134,3115830.668310424,1211051.122768296,5454.317839382668,Sign Face,NO DUMPING,R5-3,-105.08707731993357,39.91197414243737
135,3114600.560862507,1213427.505804388,5421.407603430332,Sign Face,,W1-8R,-105.09142341263467,39.91851337756592
136,3115500.463969604,1211691.206463161,5450.613860068302,Sign Face,,,-105.08824384711635,39.91373550103467
137,3115667.349932942,1214011.263454128,5405.138699926119,Sign Face,,W11-2,-105.08761044714865,39.920102338971844
138,3116635.750047688,1211876.662856288,5426.390961033087,Sign Face,R R,W10-1,-105.08419354061257,39.91423006886242
139,3111578.161237874,1214452.319271592,5457.397453469614,Sign Face,,W1-8R,-105.10218240434516,39.921364398659016
140,3115190.561387002,1213183.883103786,5433.780104343475,Sign Face,RAILROAD CROSSING,R15-1,-105.0893239815706,39.91783710820321
141,3115659.795846231,1213921.493093817,5403.519252788604,Sign Face,,,-105.08763886774113,39.91985599994729
142,3111543.700272857,1214526.081952663,5452.687087722798,Sign Face,,R2-1,-105.10230408936323,39.921567314694755
143,3112406.284501525,1214451.144227037,5442.214230754356,Sign Face,NO PARKING ANYTIME,R7-1,-105.09922989625855,39.921350936237474
144,3115060.184706807,1212766.15356277,5424.602293362201,Sign Face,,,-105.08979568161242,39.91669202326013
145,3115703.147541177,1214086.508757879,5404.5866963136,Sign Face,,D3-1,-105.08748157154064,39.92030844349869
146,3115165.596696349,1212246.005312038,5446.150238284251,Sign Face,,W1-6,-105.08942846565176,39.915262784828805
147,3112778.072764058,1214361.276146592,5435.347809746643,Sign Face,,,-105.09790580421658,39.921099611985454
148,3115085.531467162,1212976.007549383,5420.328983665685,Sign Face,DO NOT ENTER,R5-1,-105.08970185675777,39.91726778771431
149,3110482.178277567,1215103.573499091,5411.136029067417,Sign Face,,R2-1,-105.1060796242969,39.923165639141345
150,3112762.324603861,1214499.231343532,5434.955133254906,Sign Face,,,-105.09795972126194,39.92147851950414
151,3115182.04411619,1213230.278540594,5417.419697723766,Sign Face,LEFT LANE MUST TURN LEFT,R3-7L,-105.08935358082049,39.917964580168
152,3115366.979068277,1211815.293811489,5452.049420986752,Sign Face,,R2-1,-105.08871765876164,39.91407784341591
153,3115084.385258056,1212850.440381821,5425.696954722783,Sign Face,,M6-1L,-105.08970801442332,39.91692309815579
154,3112251.193438394,1214446.834929348,5446.037541927079,Sign Face,NO PARKING ANY TIME,R7-1,-105.09978291526177,39.92134102934371
155,3115171.297304463,1212228.85462763,5443.937477374057,Sign Face,,M6-1,-105.08940842607754,39.91521563069727
156,3115084.005591308,1212850.365890244,5423.533954987109,Sign Face,Recycling Center,D1-1,-105.08970936919802,39.91692289848567
157,3117041.898150919,1211919.928445379,5417.938322801968,Sign Face,,OM3,-105.08274491815142,39.91434360328741
158,3115228.013028645,1213409.39393834,5423.25684869804,Sign Face,207,M1-4,-105.08918673663798,39.918455699099965
159,3115788.399546793,1211218.59585342,5456.817373935362,Sign Face,,,-105.08722522184475,39.91243442605678
160,3115384.247497436,1211906.423843329,5454.249370835007,Sign Face,120TH AVE,D3-1,-105.0886545908008,39.91432779164741
161,3115208.878705626,1213173.584843491,5426.4691790664,Sign Face,RAILROAD CROSSING,R15-1,-105.08925884788174,39.91780860475699
162,3112206.711153543,1214418.428006944,5441.97585019825,Sign Face,,R2-1,-105.09994196586072,39.92126359831541
163,3116127.824022501,1211859.9823499,5433.795235445083,Sign Face,,,-105.08600454819461,39.914190801980446
164,3115085.450167215,1212936.511794786,5422.477421749811,Sign Face,DO NOT ENTER,R5-1,-105.08970279811564,39.917159365905384
165,3110755.238567636,1214934.556916449,5433.574582933168,Sign Face,CROSSWALK STOP ON RED STOP ON FLASHING RED & THEN PROCEED IF CLEAR,Unknown,-105.10510873376928,39.92269832443186
166,3115280.637723469,1211953.731601711,5453.572376063049,Sign Face,,W11-2,-105.08902317322313,39.91445897866454
167,3115120.884929381,1213208.125706732,5418.959925597092,Sign Face,,W11-1,-105.0895719876668,39.91790454401691
168,3117041.771595336,1211919.6132579,5420.169475071808,Sign Face,,W1-7,-105.08274537460339,39.91434273967684
169,3111343.944700856,1214528.836539048,5448.36941332974,Sign Face,,,-105.10301624080891,39.92157733368827
170,3115200.220861999,1211904.892360581,5449.099681406399,Sign Face,,W1-8R,-105.08931066255734,39.91432592906235
171,3115900.806535725,1211036.28132278,5455.063215876798,Sign Face,,,-105.08682753556333,39.91193250316438
172,3110782.792841827,1214940.976007839,5421.520886446218,Sign Face,,W11-15,-105.10501038998451,39.922715609087206
