OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
1129,1457040.255,325320.5976,989.3818212,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-43e98c15-eb60-4bf9-a7b4-e3a6c71cdc2b,76.9,D10-1,0.923391824,2.162763899,,125.0133085,-79.58143941,40.21181083
1130,1507078.256,292095.809,1832.924598,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b005bde7-c551-407f-951c-839ddb5381a2,89,M1-5,1.043424446,4.020462919,,150.5766315,-79.40008422,40.12333077
1131,1430761.689,363456.3123,1077.414796,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8b0bf175-cc71-4da3-88ab-9aa3c2a2d0a8,MILE 67.1,D10-1,0.522995001,3.858618641,,-65.44262299,-79.67849035,40.31493666
1132,1446912.149,332916.5438,1043.301758,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-0ce46d92-ec4d-4fb4-b434-99927a4c4b77,"MILE
74
.4",D10-1,0.780129521,3.205612735,,17.6342744,-79.61827084,40.2320754
1133,1434022.844,345598.7492,1007.236421,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-239630b3-e2c3-4e29-aafa-4ea4ada0fcb3,MILE 70.6,D10-1,1.123300475,3.652517612,,121.7901581,-79.66540974,40.26612305
1134,1499418.219,301486.8237,1682.108684,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8164db81-f926-403c-a16f-9609aea54b0b,,W1-8L,2.748107326,4.192083277,,151.4466259,-79.42810871,40.14870926
1135,1455581.399,325670.0544,997.6813243,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e3c99d12-a8d8-48a5-8889-030a2d0d49e8,MILE 7 6 .6,D10-1,4.942016154,4.687891243,,56.80471692,-79.58668781,40.21268675
1136,1455567.715,325669.2727,997.5265841,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-bd8eb625-8ba0-4cd9-83f3-28883f9ccee9,76.6,D10-1,3.164420102,2.474480314,,-179.5628847,-79.58673674,40.21268382
1137,1455574.914,325673.7326,999.3342564,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-5a355d7e-6751-49ad-8356-1dc9231a40a6,MILE 76.6,D10-1,10.36089198,4.618424984,,-135.1258777,-79.5867113,40.21269647
1138,1455563.261,325669.183,997.8960383,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6989b44f-6841-4c46-8047-7bd808a5126a,MILE 7 6.6,D10-1,9.276308633,3.743136828,,-169.9734257,-79.58675267,40.21268332
